Date,005930.KS,000660.KS,006400.KS
2017-08-30,36956.4453125,61312.078125,187759.359375
2017-08-31,37052.44140625,61401.578125,191660.859375
2017-09-01,37180.4140625,61491.09765625,192148.546875
2017-09-04,36828.45703125,60954.05859375,188247.0625
2017-09-05,37404.40234375,62565.18359375,185808.640625
2017-09-06,37596.3671875,64176.2890625,187759.359375
2017-09-07,38492.28125,63907.7890625,188247.0625
2017-09-08,39260.21875,64981.85546875,187759.359375
2017-09-11,39836.16015625,66055.9375,197513.125
2017-09-12,39676.17578125,66861.4921875,195074.6875
2017-09-13,39692.17578125,67756.5703125,203365.328125
2017-09-14,40236.125,68741.140625,204828.421875
2017-09-15,40316.109375,69099.171875,209217.609375
2017-09-18,41979.9609375,71336.828125,215069.8125
2017-09-19,41691.98046875,70889.2734375,217508.25
2017-09-20,41771.96875,72231.8984375,213606.78125
2017-09-21,42235.9375,74380.046875,207754.515625
2017-09-25,42891.86328125,77244.2890625,210680.640625
2017-09-26,42891.86328125,77244.2890625,210680.640625
2017-09-27,41340.0078125,73753.5234375,204340.71875
2017-09-28,41115.4375,74469.5703125,195074.6875
2017-09-29,41131.46875,74201.0625,193611.609375
2017-10-10,42350.65625,79392.4453125,208242.25
2017-10-11,43826.5234375,79750.4375,211656.03125
2017-10-12,43954.8515625,79213.4140625,209705.28125
2017-10-13,43313.171875,77065.2578125,210680.640625
2017-10-16,43249.00390625,75364.6328125,198488.484375
2017-10-17,43954.8515625,74738.0859375,197513.125
2017-10-18,43922.7578125,72410.9140625,193123.90625
2017-10-19,42495.03515625,70710.265625,192148.546875
2017-10-20,43184.8359375,72679.421875,194587.0
2017-10-23,43553.80078125,75812.171875,199951.515625
2017-10-24,43345.2578125,73216.46875,192636.234375
2017-10-25,43232.96484375,73126.96875,193611.609375
2017-10-26,42029.81640625,70441.7578125,190685.5
2017-10-27,42575.24609375,70173.265625,190197.8125
2017-10-30,43345.2578125,71426.3359375,197513.125
2017-10-31,44179.4453125,73574.5,200926.921875
2017-11-01,45895.9140625,76349.2109375,218971.3125
2017-11-02,45767.5859375,74648.578125,219458.984375
2017-11-03,45222.1640625,75543.6640625,214582.125
2017-11-06,45222.1640625,74738.0859375,212143.71875
2017-11-07,44997.5703125,73753.5234375,215557.515625
2017-11-08,45526.953125,74469.5703125,215557.515625
2017-11-09,45190.078125,73753.5234375,216045.1875
2017-11-10,45238.203125,73395.46875,215557.515625
2017-11-13,45222.1640625,73664.0,207266.828125
2017-11-14,44853.1875,74648.578125,208729.90625
2017-11-15,44387.97265625,73395.46875,212143.71875
2017-11-16,44740.90234375,73843.0390625,210192.984375
2017-11-17,44772.98828125,74290.5546875,214582.125
2017-11-20,44275.6796875,73485.015625,209217.609375
2017-11-21,44339.86328125,76080.6875,213119.109375
2017-11-22,44885.26953125,77691.8046875,221897.453125
2017-11-23,44355.89453125,75812.171875,223848.203125
2017-11-24,44484.2265625,76170.1953125,226774.296875
2017-11-27,42222.33203125,74380.046875,217020.578125
2017-11-28,42735.65625,73932.515625,214582.125
2017-11-29,42190.2421875,73753.5234375,215069.8125
2017-11-30,40746.46875,68741.140625,206779.125
2017-12-01,40778.546875,69278.1875,209217.609375
2017-12-04,41179.59765625,70799.796875,208729.90625
2017-12-05,41115.4375,69725.7109375,198976.171875
2017-12-06,40120.8359375,69367.703125,197513.125
2017-12-07,40698.33984375,68025.0859375,202877.671875
2017-12-08,41708.96875,70441.7578125,204340.71875
2017-12-11,41532.515625,70441.7578125,204828.421875
2017-12-12,41789.1796875,69636.2109375,208242.25
2017-12-13,41163.55859375,68741.140625,211656.03125
2017-12-14,40955.0,68025.0859375,205316.078125
2017-12-15,40602.08984375,67756.5703125,203853.03125
2017-12-18,41067.30859375,69099.171875,202877.671875
2017-12-19,41356.05859375,71784.359375,203853.03125
2017-12-21,39414.98828125,68920.1484375,197025.4375
2017-12-22,39864.15625,68651.6484375,197513.125
2017-12-26,38661.01953125,66234.953125,190197.8125
2017-12-27,39947.828125,68140.3359375,193606.390625
2017-12-28,41242.7265625,69410.6171875,200468.375
2018-01-02,41291.296875,69501.3359375,207820.53125
2018-01-03,41776.88671875,70499.390625,203409.234375
2018-01-04,41339.84765625,69954.9921875,204389.515625
2018-01-05,42181.5390625,71951.109375,216152.953125
2018-01-08,42100.59765625,70953.0625,221054.390625
2018-01-09,40789.51953125,69773.53125,215172.671875
2018-01-10,39526.984375,66144.203125,209290.96875
2018-01-11,39041.390625,65872.0078125,210271.25
2018-01-12,39009.0234375,67505.2109375,211251.53125
2018-01-15,39284.1875,65962.75,208800.828125
2018-01-16,40465.7890625,67505.2109375,212231.8125
2018-01-17,40158.2578125,67233.0078125,210271.25
2018-01-18,40384.85546875,68231.0625,213702.25
2018-01-19,39915.453125,66507.1484375,199978.234375
2018-01-22,39041.390625,64511.015625,198997.953125
2018-01-23,39785.96875,64692.484375,197037.390625
2018-01-24,39931.63671875,65690.5625,203899.359375
2018-01-25,40676.2109375,68775.46875,205859.96875
2018-01-26,41097.046875,68503.2734375,202919.078125
2018-01-29,41453.15234375,68321.828125,204879.65625
2018-01-30,40303.93359375,66325.671875,200468.375
2018-01-31,40384.85546875,66688.625,193116.234375
2018-02-01,40320.109375,67505.2109375,183803.53125
2018-02-02,38604.36328125,65509.09765625,175471.125
2018-02-05,38782.41015625,63694.4375,171549.953125
2018-02-06,38377.75390625,63694.4375,173510.53125
2018-02-07,37066.6640625,64511.015625,168609.109375
2018-02-08,37228.5234375,67051.5390625,171549.953125
2018-02-09,36176.421875,66597.875,166648.53125
2018-02-12,37001.92578125,67595.9609375,170569.65625
2018-02-13,38474.875,70499.390625,169099.234375
2018-02-14,39656.4765625,70408.6640625,176941.53125
2018-02-19,39154.6953125,69410.6171875,178902.125
