Date,portfolio,Rolling_VaR_95,Violation_95,Rolling_VaR_99,Violation_99,var_moderate_threshold,var_high_threshold,risk_regime,suggested_exposure,reduce_signal
2022-04-06,-0.0146698458291162,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-07,-0.009438184969177,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-08,0.0047193730494516,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-11,-0.0099944136403668,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-12,-0.010535877815425,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-13,0.0267778421876636,-0.0238340236282537,False,-0.0415524869668426,False,-0.024632606628263,-0.024632606628263,LOW,1.0,False
2022-04-14,-0.0033569968411593,-0.0238340236282537,False,-0.0415524869668426,False,-0.02432458621616116,-0.024632606628263,LOW,1.0,False
2022-04-15,-0.0143756246415925,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.024632606628263,LOW,1.0,False
2022-04-18,-0.0030178047280676,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.024632606628263,LOW,1.0,False
2022-04-19,0.0184751063234208,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.02428608366464843,LOW,1.0,False
2022-04-20,-0.0011484905719292,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.0242475811131357,LOW,1.0,False
2022-04-21,0.004601927324359,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.0242475811131357,LOW,1.0,False
2022-04-22,-0.0186614087194361,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.0242475811131357,LOW,1.0,False
2022-04-25,-0.0213512823445723,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.0242475811131357,LOW,1.0,False
2022-04-26,0.0098516027832261,-0.0238340236282537,False,-0.0415524869668426,False,-0.0242475811131357,-0.0242475811131357,LOW,1.0,False
2022-04-27,-0.0080632166675062,-0.0238340236282537,False,-0.0415524869668426,False,-0.0239167351252301,-0.0242475811131357,LOW,1.0,False
2022-04-28,0.0065202619639701,-0.0238340236282537,False,-0.0415524869668426,False,-0.0238340236282537,-0.0242475811131357,MODERATE,0.8,True
2022-04-29,0.0292915090500476,-0.0227794112343495,False,-0.0415524869668426,False,-0.0238340236282537,-0.0242475811131357,LOW,1.0,False
2022-05-02,-0.0064741609494169,-0.0227794112343495,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238753793767419,LOW,1.0,False
2022-05-03,0.0064952490591253,-0.0227794112343495,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-04,-0.006021936749037,-0.0227794112343495,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-06,-0.0103769242261382,-0.0227794112343495,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-10,-0.0095960488257459,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-11,-0.003586155769892,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-12,-0.0202553065050326,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-13,0.0331106796572961,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-16,-0.0081170544966639,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-17,0.0147156532778951,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-18,0.0121067031809068,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-19,-0.0170744886965626,-0.0223583231924124,False,-0.0415524869668426,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-20,0.0147384766004422,-0.021864989972703,False,-0.0415443485786709,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-23,0.0042771754220552,-0.021864989972703,False,-0.0415443485786709,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-24,-0.034985598121739,-0.021864989972703,True,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-25,-0.0003363074730241,-0.021864989972703,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-26,-0.0217391214528565,-0.0219848528537364,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-27,0.0171419511506242,-0.0219848528537364,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-30,0.0039672923525991,-0.0219848528537364,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-05-31,-0.0018397813168019,-0.0219848528537364,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-06-02,-0.0100773956255827,-0.0219848528537364,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-06-03,0.0004994008527559,-0.0219848528537364,False,-0.0429566462327781,False,-0.0238340236282537,-0.0238340236282537,LOW,1.0,False
2022-06-07,-0.0359455849393028,-0.0223583231924124,True,-0.0434462395097356,False,-0.02299033371313034,-0.0238340236282537,LOW,1.0,False
2022-06-08,0.0121014386120495,-0.0223583231924124,False,-0.0434462395097356,False,-0.0227794112343495,-0.0238340236282537,LOW,1.0,False
2022-06-09,0.003353086054405,-0.0223583231924124,False,-0.0434462395097356,False,-0.0227794112343495,-0.0238340236282537,LOW,1.0,False
2022-06-10,-0.011225818801517,-0.0223583231924124,False,-0.0434462395097356,False,-0.0227794112343495,-0.022884872473739923,LOW,1.0,False
2022-06-13,-0.0304324682420419,-0.0227794112343495,True,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,True
2022-06-14,-0.0118508995599138,-0.0227794112343495,False,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-15,-0.0124750093861782,-0.0227794112343495,False,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
2022-06-16,0.0123905931882366,-0.0227794112343495,False,-0.0434462395097356,False,-0.0227794112343495,-0.0227794112343495,HIGH,0.6,False
